Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Lucien Jasseron,France,29-Dec-13,Saint-Leu,French Algeria,Algeria,,,,,1,1938
Auguste Jordan,France,21-Feb-09,Linz,Austria,,,,,,1,1938
Ignace Kowalczyk,France,27-Dec-13,Castrop,Germany,,Poland,Poland,,,1,1938
Martin Povolny (born Czeslaw Povolny),France,19-Jul-14,Recklinghausen,Germany,,,,,,1,1938
Mario Zatelli,France,21-Dec-12,Sétif,French Algeria,Algeria,Italy,,,,1,1938
Wilhelm Hahnemann,Germany,14-Apr-14,Vienna,German Empire,Austria,,,,,1,1938
"Johann ""Hans"" Mock ",Germany,9-Dec-06,Vienna,German Empire,Austria,,,,,1,1938
Leopold Neumer,Germany,8-Feb-19,UNKNOWN,German Empire,Austria,,,,,1,1938
"Johann ""Hans"" Erik Pesser",Germany,7-Nov-11,Vienna,German Empire,Austria,,,,,1,1938
Rudolf Raftl,Germany,7-Feb-11,Vienna,German Empire,Austria,,,,,1,1938
Willibald Schmaus,Germany,16-Jun-11,Vienna,German Empire,Austria,,,,,1,1938
Stefan Skoumal,Germany,29-Nov-09,UNKNOWN,German Empire,Austria,,,,,1,1938
"Josef ""Pepi"" Stroh",Germany,5-Mar-13,Vienna,German Empire,Austria,,,,,1,1938
Franz Wagner,Germany,23-Sep-11,Vienna,German Empire,Austria,,,,,1,1938
Jenő Vincze,Hungary,20-Nov-08,Versec (now Vršac),Austria-Hungary,Serbia,,,,,1,1938
Miguel Ángel Andriolo Frodella (Michele Andreolo),Italy,6-Sep-12,Carmelo,Uruguay,,Italy,Italy,,,1,1938
Ladislau Raffinsky,Romania,23-Apr-05,Miskolc,Austria-Hungary,Hungary,,,,,1,1938
Róbert Szádowsky (or in Romanian Robert Sadowski),Romania,16 augustus 1914,Chernivtsi,Austria-Hungary,Ukraine,,,,,1,1938
Lazăr Sfera,Romania,29-Apr-09,Lokve,Austria-Hungary,Serbia,,,,,1,1938
