Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Ladislav Kuna,Czechoslovakia,3-Apr-47,Hlohovec,Czechoslovakia,Slovakia,,,,,1,1970
Jozef Adamec,Czechoslovakia,26-Feb-42,Vrbové,Czechoslovakia,Slovakia,,,,,1,1970
Karol Jokl,Czechoslovakia,29 augustus 1945,Partizánske,Czechoslovakia,Slovakia,,,,,1,1970
Ján Pivarník,Czechoslovakia,13-Nov-47,Cejkov,Czechoslovakia,Slovakia,,,,,1,1970
Anton Flešár,Czechoslovakia,8-May-44,Stropkov,Czechoslovakia,Slovakia,,,,,1,1970
Vladimír Hrivnák,Czechoslovakia,23-Apr-45,Hnúšťa,Czechoslovakia,Slovakia,,,,,1,1970
Ján Zlocha,Czechoslovakia,24-Mar-42,Bratislava,Czechoslovakia,Slovakia,,,,,1,1970
Ivan Hrdlička,Czechoslovakia,20-Nov-43,Bratislava,Czechoslovakia,Slovakia,,,,,1,1970
Jaroslav Pollák,Czechoslovakia,11-Jul-47,Medzev,Czechoslovakia,Slovakia,,,,,1,1970
Milan Albrecht,Czechoslovakia,16-Jul-50,Trenčín,Czechoslovakia,Slovakia,,,,,1,1970
Ján Čapkovič,Czechoslovakia,11-Jan-48,Bratislava,Czechoslovakia,Slovakia,,,,,1,1970
Alexander Vencel,Czechoslovakia,8-Feb-44,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1970
David Primo,Israel,5-May-46,UNKNOWN,Bulgaria,,,,,,1,1970
Zvi Rosen,Israel,23-Jun-47,Cologne ,West Germany,,,,,,1,1970
Itzhak Shum,Israel,1-Sep-48,Chişinău,Soviet Union,Moldavia,,,,,1,1970
Mordechai Spiegler (Captain),Israel,19 augustus 1944,Sochi,Soviet Union,Russia,Soviet Union,Soviet Union,,,1,1970
George Borba,Israel,12-Jul-44,Macerata ,Italy,,,,,,1,1970
Yisha'ayahu Schwager,Israel,10-Feb-46,UNKNOWN,Poland ,,,,,,1,1970
Rachamim Talbi,Israel,17-May-43,Vidin,Bulgaria,,,,,,1,1970
Leonid Shmuts,Soviet Union,8-Oct-48,Nikopol,Soviet Union,Ukraine,,,,,1,1970
Anzor Kavazashvili,Soviet Union,19-Jul-40,Batumi,Soviet Union,Georgia,,,,,1,1970
Revaz Dzodzuashvili,Soviet Union,15-Apr-45,Kutaisi,Soviet Union,Georgia,,,,,1,1970
Vladimir Kaplichny,Soviet Union,26-Feb-44,Kamianets-Podilskyi,Soviet Union,Ukraine,,,,,1,1970
Murtaz Khurtsilava,Soviet Union,5-Jan-43,Bandza,Soviet Union,Georgia,,,,,1,1970
Kakhi Asatiani,Soviet Union,1-Jan-47,Telavi,Soviet Union,Georgia,,,,,1,1970
Vladimir Muntyan,Soviet Union,14-Sep-46,Kotovsk,Soviet Union,Ukraine,,,,,1,1970
Viktor Serebryanikov,Soviet Union,29-Mar-40,Zaporizhzhia,Soviet Union,Ukraine,,,,,1,1970
Anatoliy Byshovets,Soviet Union,23-Apr-46,Kiev,Soviet Union,Ukraine,,,,,1,1970
Givi Nodia,Soviet Union,2-Jan-48,Kutaisi,Soviet Union,Georgia,,,,,1,1970
Vitaly Khmelnitsky,Soviet Union,12-Jun-43,Orichiw gebit,Soviet Union,Ukraine,,,,,1,1970
Valeriy Porkujan,Soviet Union,4-Oct-44,Kirovohrad,Soviet Union,Ukraine,,,,,1,1970
Wolfgang Weber,West Germany,26-Jun-44,Schlawe (Sławno),Nazi Germany,Poland,,,,,1,1970
Sigfried Held,West Germany,7 augustus 1942,Freudenthal,Sudetenland / Nazi Germany,Czech Republic,,,,,1,1970
Klaus-Dieter Sieloff,West Germany,27-Feb-42,Tilsit (now Sovetsk),East Prussia / Nazi Germany,Russia,,,,,1,1970
"John ""Jack"" Reilly",Australia,27 augustus 1945,Stonehaven,Scotland,,Scotland,Scotland,Scotland,,1,1974
Peter Wilson (Captain),Australia,15-Sep-47,Felling ,England,,England,England,,,1,1974
Ray Richards,Australia,18-May-46,Croydon,England,,England,England,,,1,1974
Jimmy Rooney,Australia,10-Dec-45,Dundee,Scotland,,Scotland,Scotland,,,1,1974
Jimmy Mackay,Australia,19-Dec-43,Edinburgh,Scotland,,Scotland,Scotland,,,1,1974
Adrian Alston,Australia,6-Feb-49,Preston,England,,England,England,,,1,1974
Peter Ollerton,Australia,20-May-51,Preston,England,,England,England,,,1,1974
Dave Harding,Australia,14 augustus 1946,Liverpool ,England,,,,,,1,1974
Johnny Watkiss,Australia,28-Mar-41,Willenhall,England,,,,,,1,1974
"Dragan ""Doug"" Utjesenovic",Australia,8-Oct-46,Belgrade,Kingdom of Yugoslavia,Serbia,Yugoslavia,Yugoslavia,,,1,1974
Manfred Schäfer,Australia,12-Feb-43,Pillau,Germany,,West Germany,West Germany,,,1,1974
Attila Abonyi,Australia,16 augustus 1946,Budapest,Hungary,,Hungary,Hungary,,,1,1974
Ivo Rudic,Australia,24-Jan-42,Split,Kingdom of Yugoslavia,Croatia,,,,,1,1974
Branko Buljevic,Australia,6-Sep-47,Split,Kingdom of Yugoslavia,Croatia,,,,,1,1974
David Harvey,Scotland,7-Feb-48,Leeds,England,,Scotland,England,,,1,1974
Enver Marić,Yugoslavia,23-Apr-48,Mostar,Yugoslavia,Bosnia and Herzegovina,,,,,1,1974
"Ivan ""Iko"" Buljan",Yugoslavia,11-Dec-49,Runovići,Yugoslavia,Croatia,,,,,1,1974
Dražen Mužinić,Yugoslavia,25-Jan-53,Split,Yugoslavia,Croatia,,,,,1,1974
Josip Katalinski,Yugoslavia,12-May-48,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1974
Ilija Petković,Yugoslavia,22-Sep-45,Knin,Yugoslavia,Croatia,,,,,1,1974
Branko Oblak,Yugoslavia,27-May-47,Ljubljana,Yugoslavia,Slovenia,,,,,1,1974
Ivica Šurjak ,Yugoslavia,23-Mar-53,Split,Yugoslavia,Croatia,,,,,1,1974
Jurica Jerković,Yugoslavia,25-Feb-50,Split,Yugoslavia,Croatia,,,,,1,1974
Luka Peruzović,Yugoslavia,26-Feb-52,Split,Yugoslavia,Croatia,,,,,1,1974
Kiril Dojčinovski,Yugoslavia,17-Oct-43,Skopje,Yugoslavia,Macedonia,,,,,1,1974
Franjo Vladić,Yugoslavia,19-Oct-51,Mostar,Yugoslavia,Bosnia and Herzegovina,,,,,1,1974
Dušan Bajević,Yugoslavia,10-Dec-48,Mostar,Yugoslavia,Bosnia and Herzegovina,,,,,1,1974
Rizah Mešković,Yugoslavia,10 augustus 1947,Tuzla,Yugoslavia,Bosnia and Herzegovina,,,,,1,1974
Giuseppe Wilson,Italy,27-Oct-45,Darlington,England,,England,Italy,,,1,1974
Herbert Wimmer,West Germany,9-Nov-44,Eupen,Belgium,,,,,,1,1974
Gérard Janvion,France,21 augustus 1953,Fort-de-France,Martinique,,,,,,1,1978
Christian Lopez,France,15-Mar-53,Aïn Témouchent,French Algeria,Algeria,,,,,1,1978
Marius Trésor (Captain),France,15-Jan-50,Sainte-Anne,Guadeloupe,,Guadeloupe,Guadeloupe,,,1,1978
Jean-Paul Bertrand-Demanes,France,23-May-52,Casablanca,Morocco,,Morocco,Morocco,,,1,1978
Claudio Gentile,Italy,27-Sep-53,Tripoli,Libya,,Libiya,Libiya,,,1,1978
Rubén Andrés Cano Martínez (Rubén Cano),Spain,5-Feb-51,San Rafael,Argentina,,Spain,Spain,,,1,1978
Ramón Quiroga,Peru,23-Jul-50,Rosario,Argentina,,Argentina,Argentina,,,1,1978
Bruce Rioch (Captain),Scotland,6-Sep-47,Aldershot,England,,Scotland,,,,1,1978
Ramón Quiroga,Peru,23-Jul-50,Rosario,Argentina,,Argentina,Argentina,,,1,1982
Nourredine Kourichi,Algeria,12-Apr-54,Ostricourt,France,,,,,,1,1982
Ali Fergani (Captain),Algeria,21-Sep-52,Onnaing,France,,,,,,1,1982
Faouzi Mansouri,Algeria,17-Jan-56,Menzel,Tunisia,,Tunisia,Tunisia,Algeria,Algeria,1,1982
Bernd Krauss,Austria,8-May-57,Dortmund,Germany,,Germany,Germany,,,1,1982
Terry Butcher,England,28-Dec-58,Singapore,Singapore,,England,England,,,1,1982
Stanislav Seman,Czechoslovakia,8 augustus 1952,Košice,Czechoslovakia,Slovakia,,,,,1,1982
Ladislav Jurkemik,Czechoslovakia,20-Jul-53,Jacovce,Czechoslovakia,Slovakia,,,,,1,1982
Jozef Barmoš,Czechoslovakia,28 augustus 1954,Šurany,Czechoslovakia,Slovakia,,,,,1,1982
Ján Kozák,Czechoslovakia,17-Apr-54,Matejovce nad Hornádom,Czechoslovakia,Slovakia,,,,,1,1982
Jozef Kukučka,Czechoslovakia,13-Mar-57,Nitra,Czechoslovakia,Slovakia,,,,,1,1982
Marián Masný,Czechoslovakia,13 augustus 1950,Rybany,Czechoslovakia,Slovakia,,,,,1,1982
Gérard Janvion,France,21 augustus 1953,Fort-de-France,Martinique,,,,,,1,1982
Christian Lopez,France,15-Mar-53,Aïn Témouchent,French Algeria,Algeria,,,,,1,1982
Marius Trésor,France,15-Jan-50,Sainte-Anne,Guadeloupe,,Guadeloupe,Guadeloupe,,,1,1982
Jean-François Larios,France,27 augustus 1956,Sidi Bel Abbès,French Algeria,Algeria,,,,,1,1982
Jean Tigana,France,23-Jun-55,Bamako ,French Sudan,Sudan,Mali,Mali,,,1,1982
Gérard Soler,France,29-Mar-54,Oujda,Morocco,,Morocco,Morocco,,,1,1982
Claudio Gentile,Italy,27-Sep-53,Tripoli,Libya,,Libiya,Libiya,,,1,1982
Ahmed Al-Tarabulsi,Kuwait,22-Mar-47,Beirut,Lebanon,,,,,,1,1982
Jimmy Nicholl,Northern Ireland,28 februari 1956,Hamilton,Canada,,Canada,Canada,,,1,1982
Chris Nicholl,Northern Ireland,12-Oct-46,Wilmslow,England,,,,Northern-Ireland (?),Northern-Ireland (?),1,1982
Roberto López Ufarte,Spain,19-Apr-58,Fes,Morocco,,Spain,Spain,,,1,1982
Ive Jerolimov,Yugoslavia,30-Mar-58,Preko,Yugoslavia,Croatia,,,,,1,1982
Ivan Gudelj,Yugoslavia,21-Sep-60,Imotski,Yugoslavia,Croatia,,,,,1,1982
Velimir Zajec,Yugoslavia,12-Feb-56,Zagreb,Yugoslavia,Croatia,,,,,1,1982
Nenad Stojković,Yugoslavia,26-May-56,Prizren,Yugoslavia,Kosovo,,,,,1,1982
Edhem Šljivo,Yugoslavia,16-Mar-50,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Zoran Vujović,Yugoslavia,26 augustus 1958,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Zlatko Vujović,Yugoslavia,26 augustus 1958,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Safet Sušić,Yugoslavia,13-Apr-55,Zavidovići,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Nikola Jovanović,Yugoslavia,18-Sep-52,Cetinje,Yugoslavia,Montenegro,,,,,1,1982
Miloš Hrstić,Yugoslavia,20-Nov-55,Vojnić,Yugoslavia,Croatia,,,,,1,1982
Miloš Šestić,Yugoslavia,8 augustus 1956,Laktaši,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Jurica Jerković,Yugoslavia,25-Feb-50,Split,Yugoslavia,Croatia,,,,,1,1982
Stjepan Deverić,Yugoslavia,20 augustus 1961,Velika Gorica,Yugoslavia,Croatia,,,,,1,1982
Vahid Halilhodžić,Yugoslavia,15-Oct-52,Jablanica,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Ivica Šurjak (Captain),Yugoslavia,23-Mar-53,Split,Yugoslavia,Croatia,,,,,1,1982
Predrag Pašić,Yugoslavia,18-Oct-58,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1982
Brian Turner,New Zealand,31-Jul-49,East Ham ,England,,England,England,,,1,1982
Dave Bright,New Zealand,29-Nov-49,UNKNOWN,England,,,,,,1,1982
Bobby Almond,New Zealand,16-Apr-51,London,England,,England,England,,,1,1982
Duncan Cole,New Zealand,12-Jul-58,UNKNOWN,England,,England,England,,,1,1982
Steve Wooddin,New Zealand,16-Jan-55,Birkenhead,England,,England,England,,,1,1982
Steve Sumner (Captain),New Zealand,2-Apr-55,Preston,England,,England,England,,,1,1982
Sam Malcolmson,New Zealand,2-Apr-48,Dalbeattie,Scotland,,Scotland,Scotland,,,1,1982
Adrian Elrick,New Zealand,29-Sep-49,Aberdeen,Scotland,,Scotland,Scotland,,,1,1982
John Hill,New Zealand,7-Jan-50,Linfield,Northern Ireland,,Northern Ireland,Northern Ireland,,,1,1982
Allan Boath,New Zealand,14-Feb-58,Dundee,Scotland,,Scotland,Scotland,,,1,1982
William James S. M. McClure (Billy McClure),New Zealand,4-Jan-58,Liverpool,England,,,,,,1,1982
Tengiz Sulakvelidze,Soviet Union,23-Jul-56,Kutaisi,Soviet Union,Georgia,,,,,1,1982
Aleksandr Chivadze (Captian),Soviet Union,8-Apr-55,Klukhori,Soviet Union,Georgia,,,,,1,1982
Sergei Baltacha,Soviet Union,17-Feb-58,Mariupol,Soviet Union,Ukraine,,,,,1,1982
Anatoliy Demyanenko ,Soviet Union,19-Feb-59,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1982
Ramaz Shengelia,Soviet Union,1-Jan-57,Kutaisi,Soviet Union,Georgia,,,,,1,1982
Volodymyr Bezsonov,Soviet Union,5-Mar-58,Kharkiv,Soviet Union,Ukraine,,,,,1,1982
Khoren Oganesian,Soviet Union,10-Jan-55,Yerevan,Soviet Union,Armenia,,,,,1,1982
Oleh Blokhin,Soviet Union,5-Nov-52,Kiev,Soviet Union,Ukraine,Russia,Ukraine,,,1,1982
Andriy Bal,Soviet Union,16-Feb-58,Rozdil,Soviet Union,Ukraine,,,,,1,1982
Vitaly Daraselia,Soviet Union,9-Oct-57,Ochamchire,Soviet Union,Georgia,Georgia,Abkhazia,,,1,1982
Sergei Borovsky,Soviet Union,29-Jan-56,Minsk,Soviet Union,Belarus,,,,,1,1982
Sergey Andreyev,Soviet Union,16-May-56,Luhansk,Soviet Union,Ukraine,,,,,1,1982
Leonid Buryak,Soviet Union,10-Jul-53,Odessa,Soviet Union,Ukraine,,,,,1,1982
Yuri Susloparov,Soviet Union,14 augustus 1958,Kharkiv,Soviet Union,Ukraine,,,,,1,1982
Vadym Yevtushenko,Soviet Union,1-Jan-58,Piatykhatky,Soviet Union,Ukraine,,,,,1,1982
Viktor Chanov,Soviet Union,21-Jul-59,Donetsk,Soviet Union,Ukraine,,,,,1,1982
Rachid Harkouk,Algeria,16-May-56,Chelsea,England,,Algeria ,England,,,1,1986
Nourredine Kourichi,Algeria,12-Apr-54,Ostricourt,France,,,,,,1,1986
Halim Benmabrouk,Algeria,25-Jun-60,Lyon,France,,Algeria,Algeria,,,1,1986
Fathi Chebal,Algeria,19 augustus 1956,Lyon,France,,,,,,1,1986
Faouzi Mansouri,Algeria,17-Jan-56,Menzel,Tunisia,,Tunisia,Tunisia,Algeria,Algeria,1,1986
Tino Lettieri,Canada,27-Sep-57,Bari,Italy,,Italy,Italy,,,1,1986
Sven Habermann,Canada,3-Nov-61,West Berlin,West Germany,Germany,Germany,Germany,,,1,1986
Randy Samuel,Canada,23-Dec-63,Point Fortin,Trinidad and Tobago,,Trinidad and Tobago,Trinidad and Tobago,,,1,1986
Paul James,Canada,11-Nov-63,Cardiff,Wales,,Wales,Wales,,,1,1986
Igor Vrablic,Canada,19-Jul-65,Bratislava,Czechoslovakia,Slovakia,Czechoslovakia,Czechoslovakia,,,1,1986
Gerry Gray,Canada,20-Jan-61,Glasgow,Scotland,,Scotland,Scotland,,,1,1986
David Norman,Canada,6-May-62,Glasgow,Scotland,,Scotland,Scotland,,,1,1986
Colin Miller,Canada,4-Oct-64,Hamilton,Scotland,,Scotland,Scotland,,,1,1986
Carl Valentine,Canada,4-Jul-58,Manchester,England,,Jamaica,England,,,1,1986
Branko Šegota,Canada,8-Jun-61,Rijeka,Yugoslavia,Croatia,Yugoslavia,Yugoslavia,,,1,1986
Terry Butcher,England,28-Dec-58,Singapore,Singapore,,England,England,,,1,1986
John Barnes,England,7-Nov-63,Kingston,Jamaica,,Trinidad and Tobago,Jamaica,,,1,1986
William Ayache,France,10-Jan-61,Algiers,French Algeria,Algeria,Algeria,Algeria,,,1,1986
Luis Fernández,France,2-Oct-59,Tarifa,Spain,,Spain,Spain,,,1,1986
Jean Tigana,France,23-Jun-55,Bamako ,French Sudan,Sudan,Mali,Mali,,,1,1986
Jimmy Nicholl,Northern Ireland,28 februari 1956,Hamilton,Canada,,Canada,Canada,,,1,1986
Bernard McNally,Northern Ireland,17-Feb-63,Shrewsbury,England,,,,Northern-Ireland (?),Northern-Ireland (?),1,1986
Jorge Amado Nunes,Paraguay,18-Oct-61,Berazategui,Argentina,,Argentina,Argentina,,,1,1986
Richard Gough,Scotland,5-Apr-62,Stockholm ,Sweden,,Scotland,Sweden,,,1,1986
Andy Goram,Scotland,13-Apr-64,Bury,England,,Scotland,,,,1,1986
Volodymyr Bezsonov,Soviet Union,5-Mar-58,Kharkiv,Soviet Union,Ukraine,,,,,1,1986
Viktor Chanov,Soviet Union,21-Jul-59,Donetsk,Soviet Union,Ukraine,,,,,1,1986
Vasyl Rats,Soviet Union,25-Apr-61,Fanchikove,Soviet Union,Ukraine,,,,,1,1986
Vadym Yevtushenko,Soviet Union,1-Jan-58,Piatykhatky,Soviet Union,Ukraine,,,,,1,1986
Serhiy Krakovskiy,Soviet Union,11 augustus 1960,Mykolaiv,Soviet Union,Ukraine,,,,,1,1986
Sergei Aleinikov,Soviet Union,7-Nov-61,Minsk,Soviet Union,Belarus,,,,,1,1986
Pavel Yakovenko,Soviet Union,19-Dec-64,Nikopol,Soviet Union,Ukraine,,,,,1,1986
Oleksandr Zavarov,Soviet Union,26-Apr-61,Luhansk,Soviet Union,Ukraine,,,,,1,1986
Oleh Protasov,Soviet Union,4-Feb-64,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1986
Oleh Kuznetsov,Soviet Union,22-Mar-63,Magdeburg,East Germany,Germany,Ukraine,Ukraine,,,1,1986
Oleh Blokhin,Soviet Union,5-Nov-52,Kiev,Soviet Union,Ukraine,Russia,Ukraine,,,1,1986
Ivan Yaremchuk,Soviet Union,19-Mar-62,Velykyy Bychkiv,Soviet Union,Ukraine,,,,,1,1986
Ihor Belanov,Soviet Union,25-Sep-60,Odessa,Soviet Union,Ukraine,,,,,1,1986
Gennadiy Lytovchenko,Soviet Union,11-Sep-63,Dniprodzerzhinsk,Soviet Union,Ukraine,,,,,1,1986
Andriy Bal,Soviet Union,16-Feb-58,Rozdil,Soviet Union,Ukraine,,,,,1,1986
Anatoliy Demyanenko (Captain),Soviet Union,19-Feb-59,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1986
Aleksandr Chivadze,Soviet Union,8-Apr-55,Klukhori,Soviet Union,Georgia,,,,,1,1986
Matthias Herget,West Germany,14-Nov-55,Annaberg-Buchholz,East Germany,Germany,,,,,1,1986
Alexandre Guimarães ,Costa Rica,7-Nov-59,Maceió,Brazil,,Brazil,,,,1,1990
Ján Kocian,Czechoslavakia,13-Mar-58,Zlaté Moravce,Czechoslovakia,Slovakia,,,,,1,1990
Jozef Chovanec,Czechoslavakia,7-Mar-60,Dolné Kočkovce,Czechoslovakia,Slovakia,,,,,1,1990
Ľubomír Moravčík,Czechoslavakia,22-Jun-65,Nitra,Czechoslovakia,Slovakia,,,,,1,1990
Peter Fieber,Czechoslavakia,16-May-64,Bratislava,Czechoslovakia,Slovakia,,,,,1,1990
Vladimír Weiss,Czechoslavakia,22-Sep-64,Bratislava,Czechoslovakia,Slovakia,,,,,1,1990
Vladimír Kinier,Czechoslavakia,6-Apr-58,Žilina,Czechoslovakia,Slovakia,,,,,1,1990
Viliam Hýravý,Czechoslavakia,26-Nov-62,Ružomberok,Czechoslovakia,Slovakia,,,,,1,1990
Milan Luhový,Czechoslavakia,1-Jan-63,Ružomberok,Czechoslovakia,Slovakia,,,,,1,1990
Stanislav Griga,Czechoslavakia,4-Nov-61,Žilina,Czechoslovakia,Slovakia,,,,,1,1990
Peter Palúch,Czechoslavakia,17-Feb-58,Ružomberok,Czechoslovakia,Slovakia,,,,,1,1990
Terry Butcher,England,28-Dec-58,Singapore,Singapore,,England,England,,,1,1990
John Barnes,England,7-Nov-63,Kingston,Jamaica,,Trinidad and Tobago,Jamaica,,,1,1990
Tony Dorigo,England,31-Dec-65,Melbourne,Australia,,Italy,Australia,,,1,1990
Graeme Rutjes,Netherlands,26-Mar-60,Sydney,Australia,,Netherlands,Netherlands,,,1,1990
John van 't Schip,Netherlands,30-Nov-63,Fort St. John,Canada,,Netherlands,Netherlands,,,1,1990
Henk Fräser,Netherlands,7-Jul-66,Paramaribo,Suriname,,Suriname,Suriname,,,1,1990
Aron Winter,Netherlands,1-Mar-67,Paramaribo,Suriname,,Suriname,Suriname ,China,,1,1990
Stanley Menzo,Netherlands,15-Oct-63,Paramaribo,Suriname,,,,,,1,1990
Chris Morris,Republic of Ireland,24-Dec-63,Newquay,England,,England,Republic of Ireland,,,1,1990
Mick McCarthy (Captain),Republic of Ireland,7-Feb-59,Barnsley,England,,Republic of Ireland,England,,,1,1990
Paul McGrath,Republic of Ireland,4-Dec-59,Ealing,England,,Nigeria,Republic of Ireland,,,1,1990
Ray Houghton,Republic of Ireland,9-Jan-62,Glasgow ,Scotland,,Republic of Ireland,,,,1,1990
John Aldridge,Republic of Ireland,18-Sep-58,Liverpool,England,,England,England,Republic of Ireland,,1,1990
Tony Cascarino,Republic of Ireland,1-Sep-62,St Paul's Cray,England,,Scotland,England,Republic of Ireland,Italy,1,1990
Kevin Sheedy,Republic of Ireland,21-Oct-59,Builth Wells,Wales,,Republic of Ireland,Wales,,,1,1990
David O'Leary,Republic of Ireland,2-May-58,Stoke Newington,England,,Republic of Ireland,Republic of Ireland,,,1,1990
Andy Townsend ,Republic of Ireland,23-Jul-63,Maidstone,England,,England,England,,,1,1990
Chris Hughton,Republic of Ireland,11-Dec-59,Forest Gate,England,,Ghana,Republic of Ireland,,,1,1990
Bernie Slaven,Republic of Ireland,13-Nov-60,Paisley,Scotland,,Scotland,Scotland,Republic of Ireland,,1,1990
John Sheridan,Republic of Ireland,1-Oct-64,Stretford,England,,,,Republic of Ireland,,1,1990
"David Kelly (""Ned Kelly"")",Republic of Ireland,25-Nov-65,Birmingham,England,,Republic of Ireland,England,,,1,1990
John Byrne,Republic of Ireland,1-Feb-61,Manchester,England,,Republic of Ireland,England,,,1,1990
Alan McLoughlin,Republic of Ireland,20-Apr-67,Manchester,England,,Republic of Ireland,Republic of Ireland,,,1,1990
Gerry Peyton,Republic of Ireland,20-May-56,Birmingham,England,,,,Republic of Ireland,,1,1990
Richard Gough,Scotland,5-Apr-62,Stockholm ,Sweden,,Scotland,Sweden,,,1,1990
Andy Goram,Scotland,13-Apr-64,Bury,England,,Scotland,,,,1,1990
Stuart McCall,Scotland,10-Jun-64,Leeds,England,,Scotland,,,,1,1990
Tomislav Ivković,SFR Yugoslavia,11 augustus 1960,Zagreb,SFR Yugoslavia,Croatia,,,,,1,1990
Vujadin Stanojković,SFR Yugoslavia,10-Sep-63,Rečica,SFR Yugoslavia,Macedonia,,,,,1,1990
Zoran Vulić,SFR Yugoslavia,4-Oct-61,Split,SFR Yugoslavia,Croatia,,,,,1,1990
Faruk Hadžibegić,SFR Yugoslavia,7-Oct-57,Sarajevo,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Davor Jozić,SFR Yugoslavia,22-Sep-60,Konjic,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Dragoljub Brnović,SFR Yugoslavia,2-Nov-63,Podgorica,SFR Yugoslavia,Montenegro,,,,,1,1990
Safet Sušić,SFR Yugoslavia,13-Apr-55,Zavidovići,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Darko Pančev,SFR Yugoslavia,7-Sep-65,Skopje,SFR Yugoslavia,Macedonia,,,,,1,1990
Zlatko Vujović (Captain),SFR Yugoslavia,26 augustus 1958,Sarajevo,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Fahrudin Omerović,SFR Yugoslavia,26 augustus 1961,Doboj,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Robert Prosinečki,SFR Yugoslavia,12-Jan-69,Schwenningen,West Germany,Germany,Croatia,Serbia,,,1,1990
Srečko Katanec,SFR Yugoslavia,16-Jul-63,Ljubljana,SFR Yugoslavia,Slovenia,,,,,1,1990
Alen Bokšić,SFR Yugoslavia,21-Jan-70,Makarska,SFR Yugoslavia,Croatia,,,,,1,1990
Refik Šabanadžović,SFR Yugoslavia,2 augustus 1965,Tuzi,SFR Yugoslavia,Montenegro,,,,,1,1990
Robert Jarni,SFR Yugoslavia,26-Oct-68,Čakovec,SFR Yugoslavia,Croatia,,,,,1,1990
Mirsad Baljić,SFR Yugoslavia,4-Mar-62,Sarajevo,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,1990
Dejan Savićević,SFR Yugoslavia,15-Sep-66,Podgorica,SFR Yugoslavia,Montenegro,,,,,1,1990
Davor Šuker ,SFR Yugoslavia,1-Jan-68,Osijek,SFR Yugoslavia,Croatia,,,,,1,1990
Andrej Panadić,SFR Yugoslavia,9-Mar-69,Zagreb,SFR Yugoslavia,Croatia,,,,,1,1990
Volodymyr Bezsonov,Soviet Union,5-Mar-58,Kharkiv,Soviet Union,Ukraine,,,,,1,1990
Oleh Kuznetsov,Soviet Union,22-Mar-63,Magdeburg,East Germany,Germany,Ukraine,Ukraine,,,1,1990
Anatoliy Demyanenko,Soviet Union,19-Feb-59,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1990
Sergei Aleinikov,Soviet Union,7-Nov-61,Minsk,Soviet Union,Belarus,,,,,1,1990
Gennadiy Lytovchenko,Soviet Union,11-Sep-63,Dniprodzerzhinsk,Soviet Union,Ukraine,,,,,1,1990
Oleksandr Zavarov,Soviet Union,26-Apr-61,Luhansk,Soviet Union,Ukraine,,,,,1,1990
Oleh Protasov,Soviet Union,4-Feb-64,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1990
Igor Dobrovolski,Soviet Union,27 augustus 1967,Markivka,Soviet Union,Ukraine,,,,,1,1990
Akhrik Tsveiba,Soviet Union,10-Sep-66,Gudauta,Soviet Union,Georgia,,,,,1,1990
Volodymyr Lyutyi,Soviet Union,24-Apr-62,Dnipropetrovsk,Soviet Union,Ukraine,,,,,1,1990
Ivan Yaremchuk,Soviet Union,19-Mar-62,Velykyy Bychkiv,Soviet Union,Ukraine,,,,,1,1990
Viktor Chanov,Soviet Union,21-Jul-59,Donetsk,Soviet Union,Ukraine,,,,,1,1990
Andrei Zygmantovich,Soviet Union,2-Dec-62,Minsk,Soviet Union,Belarus,,,,,1,1990
Sergei Gorlukovich,Soviet Union,18-Nov-61,Boruny,Soviet Union,Belarus,,,,,1,1990
Mike Windischmann (Captain),United States,6-Dec-65,Nuremberg,West Germany,Germany,West Germany,West Germany,,,1,1990
Tab Ramos,United States,21-Sep-66,Montevideo,Uruguay,,Uruguay,Uruguay,,,1,1990
Josip Weber,Belgium,16-Nov-64,Slavonski Brod,SFR Yugoslavia,Croatia,Croatia,Croatia,Belgium,,1,1994
Carlos Trucco,Bolivia,8 augustus 1957,Córdoba,Argentina,,Argentina,Argentina,,,1,1994
Gustavo Domingo Quinteros Desabato (Gustavo Quinteros),Bolivia,15-Feb-65,Santa Fe,Argentina,,Argentina,Argentina,,,1,1994
